T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
15.6,23,9,1016.4,87,1.3,2.4,11.1,284.79583333333335
17.4,24,9.3,1018.9,81,1.3,2.2,9.4,219.72083333333333
16.7,24.3,9.5,1018,82,1,4.1,13,182.1875
14.7,24.4,13.5,1012.2,96,1,10,22.2,154.03750000000002
15.4,20,10.2,1015.5,84,1.1,2.2,7.6,223.20833333333334
14.1,20.2,8.6,1015.8,82,1.1,5,13,200.64583333333337
12.1,19,4.3,1017.8,70,1.4,6.1,14.8,285.22499999999997
12.6,19.5,3.2,1019.2,78,1.3,5.2,11.1,236.82499999999996
16.4,24,8.6,1017.3,73,1.3,3.3,7.6,276.90833333333336
14,21,6.4,1023.1,76,1.6,10.2,16.5,108.0
14.7,20.8,7,1021.4,72,1,6.1,14.8,125.89166666666667
19.8,25.6,12.5,1018.2,74,1.1,7.8,24.1,181.01250000000005
16.2,25.1,14.5,1017.1,92,0.8,8,22.2,152.55416666666667
16.1,20,13.2,1019.1,80,1.8,11.9,18.3,152.32083333333335
17.3,23.2,9.8,1016,71,1.4,4.6,16.5,319.7375
16.2,23.4,9.4,1017.9,75,1.3,8,16.5,332.7083333333333
17,24,8.6,1019.2,66,1.6,2.8,7.6,279.59999999999997
17.9,25,9.5,1017.3,68,1.6,3.3,11.1,179.11666666666667
16.1,23.5,8.6,1015.9,62,2.9,10.2,18.3,54.791666666666664
16.8,24,9,1015.2,63,1.8,5.7,18.3,93.375
16.7,24.2,9.4,1016.4,66,1.8,10.6,27.8,103.0
18.2,25,8.9,1021.9,59,2.3,7.6,18.3,132.20833333333334
18.6,29,10.2,1021.3,59,1.8,10.2,18.3,127.70833333333333
19.7,27,9.8,1020.3,58,2.4,8.7,32.4,109.33333333333333
24.1,31,15.6,1011.1,57,3.1,7.2,14.8,56.458333333333336
24.8,32,16.4,1005,56,2.4,6.3,14.8,135.83333333333334
20.9,32.4,15.7,1008.2,74,1.9,12,24.1,122.5
21.4,28,13.5,1013.6,47,3.1,18.5,35.2,69.66666666666667
20.4,28.1,12.4,1012.5,55,2.6,16.1,29.4,79.83333333333333
21.2,29,11,1014.2,52,3.2,8,16.5,62.708333333333336
24.7,32.5,18,1012.1,49,2.6,5,11.1,21.208333333333332
22.8,30.5,16.5,1011.1,59,1.9,4.4,11.1,1.9166666666666667
21.3,28.5,12.5,1010.6,41,3.1,8.3,22.2,1.8333333333333333
23.4,30,12,1008.3,41,2.6,5.9,14.8,105.83333333333333
22.8,30.7,17.6,1008,54,2.9,12,22.2,117.58333333333333
20.7,28.2,14.6,1007.6,67,2.6,8.1,18.3,122.70833333333333
18.4,24,9,1015.3,49,3.2,9.1,20.6,111.95833333333333
19.6,26,9.1,1016.4,50,2.7,6.5,22.2,59.208333333333336
21.4,28,10.5,1013.7,50,2.4,8.5,22.2,77.20833333333333
23.6,30,15.6,1011.7,57,2.6,7.6,18.3,98.70833333333333
24.2,30,15.4,1012.2,53,2.7,11.3,24.1,123.70833333333333
26.6,34,16.2,1011.6,47,2.9,10.9,22.2,64.79166666666667
27.8,35,17.7,1010.4,41,3.4,12.8,27.8,52.333333333333336
29.1,35,20.8,1009.8,38,3.2,16.1,35.2,52.041666666666664
30.6,37,21.8,1009.5,41,3.1,13.1,27.8,128.33333333333334
31.2,38.5,23.3,1007.5,41,2.9,8.3,18.3,0.0
32.8,39,23.2,1004.7,36,3.2,11.1,22.2,23.208333333333332
31.7,39.4,23,1004.2,34,3.5,10.7,25.9,15.166666666666666
32.8,39,21.4,1004.9,30,3.7,10.7,22.2,21.25
28.8,38,19.2,1008,32,1.9,5.9,18.3,81.83333333333333
27.5,34.4,16.5,1010.8,28,2.7,10,20.6,105.33333333333333
27.3,33.6,19,1010.8,29,3.9,13.3,25.9,117.75
31.6,40,19.9,1006.3,27,2.9,5.6,11.1,84.5
32.4,40.5,20.7,1004.5,33,2.3,2.6,9.4,46.916666666666664
33,40.6,22,1002.1,29,3.2,8.5,24.1,104.625
34.9,43.2,28.9,999.7,45,2.7,9.1,21.7,0.0
33.5,40.2,28.5,1001.9,49,2.3,8.5,22.2,30.875
33.9,40,26.8,1001.9,31,3.2,11.1,22.2,75.58333333333333
32.6,38.2,22.5,1006.3,33,2.7,11.9,51.9,0.0
32.2,38.5,24,1004.8,37,2.9,13.3,39.6,0.0
32.1,39,24,1005.4,40,3.1,5.9,20.6,0.0
32.2,38.1,23.1,1007.2,35,3.7,5.7,13,94.75
32.3,39.6,22,1006.8,37,3.2,4.4,13,142.5
32.6,40,24.4,1006.6,35,2.3,7.4,18.3,133.375
36.6,44,25.3,1003.7,27,3.4,8,18.3,147.83333333333334
36.6,44.1,27.6,1002.7,30,2.6,3.5,9.4,158.29166666666666
35.6,42.8,28,1001.5,36,3.2,10.7,20.6,149.58333333333334
36,41.8,27.5,1002,35,2.7,6.7,18.3,101.5
37.2,43,27.8,999.8,28,3.1,6.7,14.8,106.5
37.9,44,28.1,998.3,24,3.2,10.2,22.2,128.125
32.3,40.2,27.4,1001.4,45,3.2,6.5,18.3,101.95833333333333
34,41.4,28.4,1000,38,3.4,5.4,22.2,98.41666666666667
31.2,39,24,1001.5,45,2.1,9.8,22.2,94.375
36.4,41.6,28.5,999.1,36,3.4,4.3,11.1,107.625
37.8,44,29,997.3,33,3.1,8.3,22.2,110.41666666666667
35.3,43.9,29.3,998,46,3.9,13.3,18.3,95.83333333333333
29.4,37,26,1000.2,69,2.9,9.4,20.6,72.25
32.9,37,24.9,1000.7,52,2.4,5,14.8,38.666666666666664
34.9,40,26,999.4,38,2.6,6.7,13,45.375
37.3,42.5,28.7,996.6,32,3.4,12.2,35.2,65.16666666666667
31.7,43,26,1003.5,51,3.2,14.3,37,66.08333333333333
30.3,37.2,25,1002.1,62,3.5,8.9,18.3,77.66666666666667
32.9,37,26.4,1000.6,53,2.7,4.8,13,70.25
36.6,42,28.1,997.5,33,3.5,13.3,29.4,56.291666666666664
36.1,42,29,1000.4,37,2.9,12.8,43.2,77.0
34.7,41.6,28.6,998.9,39,3.1,11.3,22.2,32.958333333333336
30.2,37,24,998,72,3.2,10.2,27.8,80.625
27.6,37.4,23.2,998.3,79,2.6,5.6,14.8,90.70833333333333
27.7,32.2,23.7,999,85,2.4,6.7,13,97.29166666666667
35.7,39,30,997.7,58,3.1,6.7,13,50.708333333333336
35.2,39.4,30.4,998.9,62,3.4,7.6,18.3,40.375
35.6,39,30.5,998.5,59,3.4,9.4,18.3,49.416666666666664
30.3,34.5,25.4,995.6,84,2.4,3.3,9.4,61.875
28.1,35.1,26,996.9,91,1.9,6.5,14.8,0.0
32,37,26.7,996.5,75,2.3,3.7,9.4,29.666666666666668
31.3,35.8,25.2,1000.4,74,2.7,3.9,11.1,49.125
31.9,36.5,28.2,999.1,72,2.4,6.3,13,43.666666666666664
34.4,37.6,29.6,998.6,58,2.9,7.4,14.8,29.833333333333332
31.1,35,27,999.4,69,3.2,7.8,14.8,35.208333333333336
33.2,36.5,28.4,999.6,64,3.7,9.6,18.3,37.625
31.6,36.4,28.4,1000.2,76,3.2,6.1,14.8,41.458333333333336
34.1,38,28,997.6,64,2.7,5,18.3,38.583333333333336
29.2,38.4,25,998,84,2.3,6.9,18.3,36.0
32.5,36,28,997.5,70,3.1,10,18.3,70.58333333333333
29.6,33.4,26.6,997.3,84,2.4,9.3,16.5,33.166666666666664
31.6,35,26.4,999.1,74,3.2,8.9,13,38.25
32.2,35,28.6,1000.7,69,3.7,9.3,16.5,26.583333333333332
28.3,34.1,27,1001.1,89,2.1,4.6,18.3,15.416666666666666
28.8,32,26.8,1001.6,84,2.3,9.6,18.3,41.375
29.8,32,27,1000.2,78,2.7,10.2,14.8,25.541666666666668
31.2,35,27.3,997.2,69,2.9,18.7,27.8,28.375
29.8,36.1,26,1001.8,84,2.3,3.5,11.1,50.333333333333336
31.7,36,26.5,1001.5,77,2.7,4.8,13,35.375
29.2,35.6,27,999.3,87,1.6,3.5,18.3,31.916666666666668
31.3,35,27.3,1001.2,68,2.9,13.1,22.2,35.291666666666664
31.6,36,27.4,1003.3,63,3.7,7.2,14.8,26.833333333333332
27.9,37.8,26,1003.2,92,1.6,6.1,14.8,35.708333333333336
32,36,26.5,1001.8,70,3.1,9.6,28.7,43.583333333333336
32.1,36,28.3,1001.3,72,3.2,8.5,16.5,46.041666666666664
31.1,35,27.2,999.9,76,2.4,3.9,11.1,82.875
29.1,35.3,25.2,1000.4,84,2.4,4.3,22.2,64.91666666666667
31,36,24.8,1000,71,3.2,3.7,9.4,30.666666666666668
28.2,35.5,25.6,1003.7,89,1.6,6.1,20.6,34.416666666666664
28.7,33,25.5,1002.6,81,2.3,9.4,22.2,33.166666666666664
28.2,32.6,26,1002.8,78,2.7,9.8,22.2,30.625
30.7,35,25.2,1003.9,70,3.4,8.1,18.3,30.333333333333332
28.9,36.1,24.2,1005.5,76,2.9,6.7,13,0.0
31.2,35,26.5,1005.5,67,2.7,5.7,13,0.0
31.6,35.1,26.8,1003.9,65,3.1,6.7,11.1,0.0
32.2,36.2,27,1006.2,63,2.9,4.6,11.1,76.875
32.1,36.6,27.5,1005.6,67,2.4,3,7.6,83.45833333333333
32.7,36.1,27,1005.1,53,2.9,6.7,14.8,71.66666666666667
31.6,36,25.6,1002.8,59,2.6,1.1,7.6,69.70833333333333
31.6,37,25,1002.9,57,2.7,3,11.1,62.375
30.7,36.9,24.8,1002.7,69,2.9,6.9,11.1,24.875
30.2,35,23.8,1004.5,67,3.1,8.9,14.8,43.958333333333336
30.4,35.1,25,1005.7,66,3.4,5.7,18.3,41.5
30.8,36,23.8,1005.9,58,3.1,2.6,11.1,38.791666666666664
28.8,36,22,1005.9,55,3.4,5.7,22.2,30.333333333333332
29.9,36.4,21.9,1006,47,3.9,8,24.1,26.666666666666668
30.5,36.4,21.3,1007.9,53,3.7,7.2,14.8,29.0
29.6,36,21.6,1007.6,54,2.9,6.1,18.3,61.708333333333336
28.8,35.8,22.4,1006.9,63,2.6,3.9,11.1,60.541666666666664
29.6,36,22.5,1007.6,58,2.7,2.4,11.1,41.583333333333336
29,35,21.6,1004.5,57,2.6,4.4,14.8,80.04166666666667
28.8,36.4,21.5,1004.4,56,2.6,2.4,13,82.83333333333333
28.2,36.5,19.2,1005.1,54,2.7,3.5,16.5,95.25
28.5,36,19.4,1008.8,58,2.4,0.6,9.4,126.16666666666667
27.8,36.3,20.5,1007.5,62,1.3,2,13,136.70833333333334
25.9,35.3,18.4,1005.6,61,1.6,3.1,11.1,160.66666666666666
23.8,33,17,1013.7,63,1.6,2.6,7.6,245.66666666666666
23.8,33.1,16.1,1014,67,1.9,0.7,5.4,261.6666666666667
23.8,33.2,17.3,1012.8,69,1.8,0.7,5.4,272.4166666666667
23.5,31.4,17.6,1014,72,1.6,1.7,9.4,99.70833333333333
23.3,32,19.4,1012.9,79,1.3,2.6,9.4,217.375
22.7,30.3,17.5,1013.5,78,1.1,0.4,3.5,309.375
21.1,30,16,1014.4,73,0.6,1.9,11.1,321.5416666666667
19.7,30.2,14,1014,82,0.3,0.4,3.5,278.0
20.1,30.4,13.8,1013.2,71,0.5,0.9,7.6,192.33333333333334
19.3,28.5,12.4,1010.9,74,0.6,0.4,3.5,224.16666666666666
20.1,28.5,14.6,1011.2,73,0.8,1.9,7.6,196.75
18.1,24.3,13.5,1016.5,60,1.8,5.6,14.8,166.70833333333334
15.9,24.5,9.4,1017.3,58,1.4,3.9,11.1,130.70833333333334
16,24.4,10.2,1015.1,59,1.8,5.2,18.3,194.70833333333334
16.9,26.5,8.6,1016,57,1.9,3.5,9.4,134.45833333333334
16.9,27.5,8.6,1016.7,63,1.6,1.1,9.4,110.0
16.3,27.5,9,1013.9,63,1.9,5,13,160.0
15.7,27.1,8.2,1015.7,66,1.6,1.7,13,118.91666666666667
15.1,26.4,8,1016.6,72,1.3,0.7,5.4,185.95833333333334
17.4,25,12,1015.7,47,1.9,6.1,22.2,239.125
16.6,25.2,9.4,1015.4,52,1.9,6.7,22.2,365.2916666666667
16.1,26.6,0.7,1015.3,60,1.9,1.7,9.4,312.2083333333333
15.7,21.7,12,1018.2,85,1,3.3,7.6,121.33333333333333
13.6,21.3,9.6,1020.1,83,0.8,4.8,11.1,202.875
12.7,19.5,8,1021,78,1,6.1,11.1,260.1666666666667
15.2,25.6,9.6,1019.9,70,1.4,4.4,9.4,277.7083333333333
16.4,23.7,9.6,1020.6,82,0.5,2.8,9.4,284.1666666666667
17.4,25,12,1020.8,76,0.8,1.3,9.4,288.4166666666667
13.5,25.1,7,1017.8,79,1,3.9,13,166.91666666666666
14.4,23.2,7.1,1017.7,74,1.3,2,7.6,169.0
15.1,25,7.6,1017.1,71,1.3,3.5,13,186.04166666666666
